Episode : 518 / 10000, Score : 560, Max Tile : 256, Average: 546.9, Loss : 0.000
Episode : 519 / 10000, Score : 558, Max Tile : 256, Average: 547.0, Loss : 0.000
Episode : 520 / 10000, Score : 558, Max Tile : 256, Average: 547.1, Loss : 0.000
Episode : 521 / 10000, Score : 574, Max Tile : 256, Average: 547.3, Loss : 0.000
Episode : 522 / 10000, Score : 560, Max Tile : 256, Average: 547.4, Loss : 0.000
Episode : 523 / 10000, Score : 562, Max Tile : 256, Average: 547.6, Loss : 0.000
Episode : 524 / 10000, Score : 566, Max Tile : 256, Average: 547.8, Loss : 0.000
Episode : 525 / 10000, Score : 574, Max Tile : 256, Average: 548.0, Loss : 0.000
Episode : 526 / 10000, Score : 568, Max Tile : 256, Average: 549.1, Loss : 0.000
Episode : 527 / 10000, Score : 560, Max Tile : 256, Average: 549.2, Loss : 0.000
Episode : 528 / 10000, Score : 564, Max Tile : 256, Average: 549.3, Loss : 0.000
Episode : 529 / 10000, Score : 562, Max Tile : 256, Average: 549.4, Loss : 0.000
Episode : 530 / 10000, Score : 576, Max Tile : 256, Average: 552.4, Loss : 0.000
Episode : 531 / 10000, Score : 568, Max Tile : 256, Average: 552.6, Loss : 0.000
Episode : 532 / 10000, Score : 566, Max Tile : 256, Average: 552.8, Loss : 0.000
Episode : 533 / 10000, Score : 566, Max Tile : 256, Average: 553.0, Loss : 0.000
Episode : 534 / 10000, Score : 560, Max Tile : 256, Average: 553.1, Loss : 0.000
Episode : 535 / 10000, Score : 564, Max Tile : 256, Average: 553.4, Loss : 0.000
Episode : 536 / 10000, Score : 564, Max Tile : 256, Average: 553.6, Loss : 0.000
Episode : 537 / 10000, Score : 566, Max Tile : 256, Average: 553.8, Loss : 0.000
Episode : 538 / 10000, Score : 564, Max Tile : 256, Average: 554.0, Loss : 0.000
Episode : 539 / 10000, Score : 566, Max Tile : 256, Average: 554.2, Loss : 0.000
Episode : 540 / 10000, Score : 566, Max Tile : 256, Average: 554.5, Loss : 0.000
Episode : 541 / 10000, Score : 564, Max Tile : 256, Average: 554.6, Loss : 0.000
Episode : 542 / 10000, Score : 572, Max Tile : 256, Average: 554.9, Loss : 0.000
Episode : 543 / 10000, Score : 570, Max Tile : 256, Average: 555.1, Loss : 0.000
Episode : 544 / 10000, Score : 572, Max Tile : 256, Average: 555.4, Loss : 0.000
Episode : 545 / 10000, Score : 568, Max Tile : 256, Average: 555.6, Loss : 0.000
Episode : 546 / 10000, Score : 570, Max Tile : 256, Average: 555.8, Loss : 0.000
Episode : 547 / 10000, Score : 568, Max Tile : 256, Average: 556.0, Loss : 0.000
Episode : 548 / 10000, Score : 568, Max Tile : 256, Average: 556.2, Loss : 0.000
Episode : 549 / 10000, Score : 568, Max Tile : 256, Average: 556.4, Loss : 0.000
Episode : 550 / 10000, Score : 570, Max Tile : 256, Average: 556.6, Loss : 0.000
Episode : 551 / 10000, Score : 582, Max Tile : 256, Average: 556.9, Loss : 0.000
Episode : 552 / 10000, Score : 572, Max Tile : 256, Average: 557.2, Loss : 0.000
Episode : 553 / 10000, Score : 568, Max Tile : 256, Average: 557.4, Loss : 0.000
Episode : 554 / 10000, Score : 570, Max Tile : 256, Average: 557.7, Loss : 0.000
Episode : 555 / 10000, Score : 586, Max Tile : 256, Average: 558.1, Loss : 0.000
Episode : 556 / 10000, Score : 588, Max Tile : 512, Average: 558.5, Loss : 0.000
Episode : 557 / 10000, Score : 572, Max Tile : 256, Average: 558.8, Loss : 0.000
Episode : 558 / 10000, Score : 576, Max Tile : 256, Average: 559.1, Loss : 0.000
Episode : 559 / 10000, Score : 578, Max Tile : 256, Average: 559.4, Loss : 0.000
Episode : 560 / 10000, Score : 574, Max Tile : 256, Average: 559.6, Loss : 0.000
Episode : 561 / 10000, Score : 576, Max Tile : 256, Average: 559.9, Loss : 0.000
Episode : 562 / 10000, Score : 578, Max Tile : 256, Average: 560.2, Loss : 0.000
Episode : 563 / 10000, Score : 572, Max Tile : 256, Average: 560.4, Loss : 0.000
Episode : 564 / 10000, Score : 574, Max Tile : 256, Average: 560.7, Loss : 0.000
Episode : 565 / 10000, Score : 590, Max Tile : 512, Average: 561.2, Loss : 0.000
Episode : 566 / 10000, Score : 576, Max Tile : 256, Average: 561.4, Loss : 0.000
Episode : 567 / 10000, Score : 578, Max Tile : 256, Average: 561.8, Loss : 0.000
Episode : 568 / 10000, Score : 574, Max Tile : 256, Average: 562.0, Loss : 0.000
Episode : 569 / 10000, Score : 574, Max Tile : 256, Average: 562.3, Loss : 0.000
Episode : 570 / 10000, Score : 576, Max Tile : 256, Average: 562.6, Loss : 0.000
Episode : 571 / 10000, Score : 576, Max Tile : 256, Average: 562.9, Loss : 0.000
Episode : 572 / 10000, Score : 574, Max Tile : 256, Average: 563.2, Loss : 0.000
Episode : 573 / 10000, Score : 576, Max Tile : 256, Average: 563.4, Loss : 0.000
Episode : 574 / 10000, Score : 576, Max Tile : 256, Average: 563.7, Loss : 0.000
Episode : 575 / 10000, Score : 600, Max Tile : 256, Average: 564.2, Loss : 0.000
Episode : 576 / 10000, Score : 578, Max Tile : 256, Average: 564.4, Loss : 0.000
Episode : 577 / 10000, Score : 574, Max Tile : 256, Average: 564.7, Loss : 0.000
Episode : 578 / 10000, Score : 580, Max Tile : 256, Average: 565.0, Loss : 0.000
